,measurement_id,species_id,species_name,sepal_length,sepal_width,petal_length,petal_width
0,1,1,setosa,5.1,3.5,1.4,0.2
1,2,1,setosa,4.9,3.0,1.4,0.2
2,3,1,setosa,4.7,3.2,1.3,0.2
3,4,1,setosa,4.6,3.1,1.5,0.2
4,5,1,setosa,5.0,3.6,1.4,0.2
5,6,1,setosa,5.4,3.9,1.7,0.4
6,7,1,setosa,4.6,3.4,1.4,0.3
7,8,1,setosa,5.0,3.4,1.5,0.2
8,9,1,setosa,4.4,2.9,1.4,0.2
9,10,1,setosa,4.9,3.1,1.5,0.1
10,11,1,setosa,5.4,3.7,1.5,0.2
11,12,1,setosa,4.8,3.4,1.6,0.2
12,13,1,setosa,4.8,3.0,1.4,0.1
13,14,1,setosa,4.3,3.0,1.1,0.1
14,15,1,setosa,5.8,4.0,1.2,0.2
15,16,1,setosa,5.7,4.4,1.5,0.4
16,17,1,setosa,5.4,3.9,1.3,0.4
17,18,1,setosa,5.1,3.5,1.4,0.3
18,19,1,setosa,5.7,3.8,1.7,0.3
19,20,1,setosa,5.1,3.8,1.5,0.3
20,21,1,setosa,5.4,3.4,1.7,0.2
21,22,1,setosa,5.1,3.7,1.5,0.4
22,23,1,setosa,4.6,3.6,1.0,0.2
23,24,1,setosa,5.1,3.3,1.7,0.5
24,25,1,setosa,4.8,3.4,1.9,0.2
25,26,1,setosa,5.0,3.0,1.6,0.2
26,27,1,setosa,5.0,3.4,1.6,0.4
27,28,1,setosa,5.2,3.5,1.5,0.2
28,29,1,setosa,5.2,3.4,1.4,0.2
29,30,1,setosa,4.7,3.2,1.6,0.2
30,31,1,setosa,4.8,3.1,1.6,0.2
31,32,1,setosa,5.4,3.4,1.5,0.4
32,33,1,setosa,5.2,4.1,1.5,0.1
33,34,1,setosa,5.5,4.2,1.4,0.2
34,35,1,setosa,4.9,3.1,1.5,0.2
35,36,1,setosa,5.0,3.2,1.2,0.2
36,37,1,setosa,5.5,3.5,1.3,0.2
37,38,1,setosa,4.9,3.6,1.4,0.1
38,39,1,setosa,4.4,3.0,1.3,0.2
39,40,1,setosa,5.1,3.4,1.5,0.2
40,41,1,setosa,5.0,3.5,1.3,0.3
41,42,1,setosa,4.5,2.3,1.3,0.3
42,43,1,setosa,4.4,3.2,1.3,0.2
43,44,1,setosa,5.0,3.5,1.6,0.6
44,45,1,setosa,5.1,3.8,1.9,0.4
45,46,1,setosa,4.8,3.0,1.4,0.3
46,47,1,setosa,5.1,3.8,1.6,0.2
47,48,1,setosa,4.6,3.2,1.4,0.2
48,49,1,setosa,5.3,3.7,1.5,0.2
49,50,1,setosa,5.0,3.3,1.4,0.2
50,51,2,versicolor,7.0,3.2,4.7,1.4
51,52,2,versicolor,6.4,3.2,4.5,1.5
52,53,2,versicolor,6.9,3.1,4.9,1.5
53,54,2,versicolor,5.5,2.3,4.0,1.3
54,55,2,versicolor,6.5,2.8,4.6,1.5
55,56,2,versicolor,5.7,2.8,4.5,1.3
56,57,2,versicolor,6.3,3.3,4.7,1.6
57,58,2,versicolor,4.9,2.4,3.3,1.0
58,59,2,versicolor,6.6,2.9,4.6,1.3
59,60,2,versicolor,5.2,2.7,3.9,1.4
60,61,2,versicolor,5.0,2.0,3.5,1.0
61,62,2,versicolor,5.9,3.0,4.2,1.5
62,63,2,versicolor,6.0,2.2,4.0,1.0
63,64,2,versicolor,6.1,2.9,4.7,1.4
64,65,2,versicolor,5.6,2.9,3.6,1.3
65,66,2,versicolor,6.7,3.1,4.4,1.4
66,67,2,versicolor,5.6,3.0,4.5,1.5
67,68,2,versicolor,5.8,2.7,4.1,1.0
68,69,2,versicolor,6.2,2.2,4.5,1.5
69,70,2,versicolor,5.6,2.5,3.9,1.1
70,71,2,versicolor,5.9,3.2,4.8,1.8
71,72,2,versicolor,6.1,2.8,4.0,1.3
72,73,2,versicolor,6.3,2.5,4.9,1.5
73,74,2,versicolor,6.1,2.8,4.7,1.2
74,75,2,versicolor,6.4,2.9,4.3,1.3
75,76,2,versicolor,6.6,3.0,4.4,1.4
76,77,2,versicolor,6.8,2.8,4.8,1.4
77,78,2,versicolor,6.7,3.0,5.0,1.7
78,79,2,versicolor,6.0,2.9,4.5,1.5
79,80,2,versicolor,5.7,2.6,3.5,1.0
80,81,2,versicolor,5.5,2.4,3.8,1.1
81,82,2,versicolor,5.5,2.4,3.7,1.0
82,83,2,versicolor,5.8,2.7,3.9,1.2
83,84,2,versicolor,6.0,2.7,5.1,1.6
84,85,2,versicolor,5.4,3.0,4.5,1.5
85,86,2,versicolor,6.0,3.4,4.5,1.6
86,87,2,versicolor,6.7,3.1,4.7,1.5
87,88,2,versicolor,6.3,2.3,4.4,1.3
88,89,2,versicolor,5.6,3.0,4.1,1.3
89,90,2,versicolor,5.5,2.5,4.0,1.3
90,91,2,versicolor,5.5,2.6,4.4,1.2
91,92,2,versicolor,6.1,3.0,4.6,1.4
92,93,2,versicolor,5.8,2.6,4.0,1.2
93,94,2,versicolor,5.0,2.3,3.3,1.0
94,95,2,versicolor,5.6,2.7,4.2,1.3
95,96,2,versicolor,5.7,3.0,4.2,1.2
96,97,2,versicolor,5.7,2.9,4.2,1.3
97,98,2,versicolor,6.2,2.9,4.3,1.3
98,99,2,versicolor,5.1,2.5,3.0,1.1
99,100,2,versicolor,5.7,2.8,4.1,1.3
100,101,3,virginica,6.3,3.3,6.0,2.5
101,102,3,virginica,5.8,2.7,5.1,1.9
102,103,3,virginica,7.1,3.0,5.9,2.1
103,104,3,virginica,6.3,2.9,5.6,1.8
104,105,3,virginica,6.5,3.0,5.8,2.2
105,106,3,virginica,7.6,3.0,6.6,2.1
106,107,3,virginica,4.9,2.5,4.5,1.7
107,108,3,virginica,7.3,2.9,6.3,1.8
108,109,3,virginica,6.7,2.5,5.8,1.8
109,110,3,virginica,7.2,3.6,6.1,2.5
110,111,3,virginica,6.5,3.2,5.1,2.0
111,112,3,virginica,6.4,2.7,5.3,1.9
112,113,3,virginica,6.8,3.0,5.5,2.1
113,114,3,virginica,5.7,2.5,5.0,2.0
114,115,3,virginica,5.8,2.8,5.1,2.4
115,116,3,virginica,6.4,3.2,5.3,2.3
116,117,3,virginica,6.5,3.0,5.5,1.8
117,118,3,virginica,7.7,3.8,6.7,2.2
118,119,3,virginica,7.7,2.6,6.9,2.3
119,120,3,virginica,6.0,2.2,5.0,1.5
120,121,3,virginica,6.9,3.2,5.7,2.3
121,122,3,virginica,5.6,2.8,4.9,2.0
122,123,3,virginica,7.7,2.8,6.7,2.0
123,124,3,virginica,6.3,2.7,4.9,1.8
124,125,3,virginica,6.7,3.3,5.7,2.1
125,126,3,virginica,7.2,3.2,6.0,1.8
126,127,3,virginica,6.2,2.8,4.8,1.8
127,128,3,virginica,6.1,3.0,4.9,1.8
128,129,3,virginica,6.4,2.8,5.6,2.1
129,130,3,virginica,7.2,3.0,5.8,1.6
130,131,3,virginica,7.4,2.8,6.1,1.9
131,132,3,virginica,7.9,3.8,6.4,2.0
132,133,3,virginica,6.4,2.8,5.6,2.2
133,134,3,virginica,6.3,2.8,5.1,1.5
134,135,3,virginica,6.1,2.6,5.6,1.4
135,136,3,virginica,7.7,3.0,6.1,2.3
136,137,3,virginica,6.3,3.4,5.6,2.4
137,138,3,virginica,6.4,3.1,5.5,1.8
138,139,3,virginica,6.0,3.0,4.8,1.8
139,140,3,virginica,6.9,3.1,5.4,2.1
140,141,3,virginica,6.7,3.1,5.6,2.4
141,142,3,virginica,6.9,3.1,5.1,2.3
142,143,3,virginica,5.8,2.7,5.1,1.9
143,144,3,virginica,6.8,3.2,5.9,2.3
144,145,3,virginica,6.7,3.3,5.7,2.5
145,146,3,virginica,6.7,3.0,5.2,2.3
146,147,3,virginica,6.3,2.5,5.0,1.9
147,148,3,virginica,6.5,3.0,5.2,2.0
148,149,3,virginica,6.2,3.4,5.4,2.3
149,150,3,virginica,5.9,3.0,5.1,1.8
